2 0.000000 100.000000 240.580931
25 16 
1 -12.020754 0.000000 -95.022817 99.454680 10.452846 -0.000794 -0.000050 
2 194.824905 0.000000 -95.022817 99.451542 10.452846 0.007671 0.000013 
3 194.824905 0.000000 107.207809 99.448785 10.452846 0.022822 0.000068 
4 -12.020754 0.000000 107.207809 99.449075 10.452846 -0.000640 0.000062 
5 91.402075 0.000000 6.092496 99.117158 10.452846 -0.056054 0.006652 
6 -12.020754 0.000000 6.092496 99.451542 10.452846 -0.002969 0.000013 
7 91.402075 0.000000 -95.022817 99.460020 10.452846 0.007096 -0.000156 
8 194.824905 0.000000 6.092496 99.486520 10.452846 -0.246358 -0.000689 
9 91.402075 0.000000 107.207809 99.439673 10.452846 0.011932 0.000249 
10 39.690661 0.000000 -44.465160 99.461462 10.452846 -0.004108 -0.000184 
11 -12.020754 0.000000 -44.465160 99.454102 10.452846 -0.002139 -0.000038 
12 39.690661 0.000000 -95.022817 99.458228 10.452846 0.000630 -0.000120 
13 91.402075 0.000000 -44.465160 99.475290 10.452846 0.017759 -0.000460 
14 39.690661 0.000000 6.092496 99.444957 10.452846 -0.013632 0.000144 
15 143.113490 0.000000 -44.465160 99.447348 10.452846 0.009302 0.000096 
16 143.113490 0.000000 -95.022817 99.454595 10.452846 0.009868 -0.000048 
17 194.824905 0.000000 -44.465160 99.444563 10.452846 -0.008878 0.000152 
18 143.113490 0.000000 6.092496 99.506422 10.452846 -0.347120 -0.001091 
19 143.113490 0.000000 56.650153 99.441314 10.452846 0.088718 0.000216 
20 91.402075 0.000000 56.650153 99.395537 10.452846 0.056795 0.001126 
21 194.824905 0.000000 56.650153 99.450625 10.452846 0.081075 0.000030 
22 143.113490 0.000000 107.207809 99.444740 10.452846 0.020910 0.000148 
23 39.690661 0.000000 56.650153 99.437192 10.452846 -0.001543 0.000298 
24 -12.020754 0.000000 56.650153 99.449265 10.452846 -0.001958 0.000058 
25 39.690661 0.000000 107.207809 99.444180 10.452846 0.001645 0.000159 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
