...Mass Properties...
12 Num Comps
10 Total Num Meshes
48320 Total Num Tris

8.440807431615370e+04             Total Mass
4.258583573887024e+01 -5.590264695196078e-08 -5.203008942630564e-01       Center of Gravity
3.308628566809737e+07 1.156985074713827e+07 4.453056515405548e+07       Ixx, Iyy, Izz
-7.028785261588204e+02 -2.185114630034329e+05 4.910053461337135e+02       Ixy, Ixz, Iyz
1.217793114987516e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.875172039175919e+01	1.086578739708586e+04	3.720872134462341e+01	4.385658027537141e-14	-5.587888421280082e-01	1.496265796922423e+05	3.441818029323334e+04	1.399641037196807e+05	-1.257236407326950e+02	-4.189596499014523e+02	8.847727250218266e+01	2.173157479417274e+02
3.921648778137256e+01	1.231001471276716e+04	3.744427517612736e+01	4.507815483267162e-14	-5.614561896444191e-01	1.714005662328738e+05	4.266405382996389e+04	1.638998698937125e+05	-1.429287862470960e+02	-4.776827705873398e+02	1.002906346685545e+02	2.462002942553550e+02
3.968125517098593e+01	1.369606120802560e+04	3.767065838475536e+01	4.018808609122954e-14	-5.616446666142262e-01	1.906654445726320e+05	5.186746846349720e+04	1.865540278581676e+05	-1.592538178936524e+02	-4.833758204580142e+02	1.114203835953632e+02	2.739212241605252e+02
4.014602256059931e+01	1.471634954325742e+04	3.784227602584508e+01	3.591093505420553e-14	-5.558934146468716e-01	1.998017953645922e+05	5.962196245862525e+04	1.996643305930645e+05	-1.709197534024108e+02	-2.887552894028240e+02	1.196819194711102e+02	2.943269908651624e+02
4.061078995021268e+01	1.522531511664135e+04	3.793482440767774e+01	3.442771179739931e-14	-5.500524160096083e-01	2.018720307005222e+05	6.402973538463330e+04	2.049138915868392e+05	-1.756521583075069e+02	-5.092716138296958e+01	1.236069918767566e+02	3.045063023328412e+02
4.107555733982606e+01	1.528400683938911e+04	3.794688505567505e+01	3.428796502525838e-14	-5.526412641267548e-01	2.072994831549882e+05	6.465201142682601e+04	2.108777982442467e+05	-1.758155263741074e+02	-1.747367954546254e+02	1.236590115985732e+02	3.056801367877965e+02
4.154032472943943e+01	1.549075276048618e+04	3.799484457105472e+01	3.385925193704433e-14	-5.630403466452112e-01	2.338007760943180e+05	6.746194988555985e+04	2.398558406330330e+05	-1.771758652336514e+02	-7.459218957326218e+02	1.253954646681613e+02	3.098150552097378e+02
4.200509211905280e+01	1.585645650971585e+04	3.808733450174910e+01	3.262202715964494e-14	-5.800121195289210e-01	2.892946222884417e+05	7.349803603418630e+04	3.008377886555884e+05	-1.800018023325302e+02	-1.800333161401894e+03	1.282555759729058e+02	3.171291301943314e+02
4.246985950866618e+01	1.637956664581264e+04	3.822729811021259e+01	3.052791645049817e-14	-6.019104088054581e-01	3.823045632709239e+05	8.360525327708843e+04	4.032401052268210e+05	-1.843218261884329e+02	-3.322220367636099e+03	1.328698937548258e+02	3.275913329162673e+02
4.293462689827955e+01	1.705823974609269e+04	3.841458223039080e+01	2.972313361962331e-14	-6.270034086271785e-01	5.221528759537546e+05	9.849380282453558e+04	5.571416631138751e+05	-1.917571610862148e+02	-5.257228201190234e+03	1.384664922384711e+02	3.411647949218687e+02
